

ESTACIÓN AUTOMÁTICA: Ourense
CONCELLO: Ourense
PROVINCIA: Ourense

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen validar
1:  Dato válido orixinal
2:  Dato sospeitoso
3:  Dato erróneo
4:  Dato acumulado                                    
5:  Dato válido interpolado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:01/4/2015-23/10/2015


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          04/09/2015    Temperatura media (ºC)                    17,8
      1          05/09/2015    Temperatura media (ºC)                    18,9
      1          06/09/2015    Temperatura media (ºC)                    20,5
      1          07/09/2015    Temperatura media (ºC)                    21,8
      1          08/09/2015    Temperatura media (ºC)                    20
      1          09/09/2015    Temperatura media (ºC)                    17,3
      1          10/09/2015    Temperatura media (ºC)                    18,5
      1          11/09/2015    Temperatura media (ºC)                    17,5
      1          12/09/2015    Temperatura media (ºC)                    19,6
      1          13/09/2015    Temperatura media (ºC)                    16,8
      1          14/09/2015    Temperatura media (ºC)                    16
      1          15/09/2015    Temperatura media (ºC)                    17,2
      1          16/09/2015    Temperatura media (ºC)                    16,1
      1          17/09/2015    Temperatura media (ºC)                    14,7
      1          18/09/2015    Temperatura media (ºC)                    14
      1          19/09/2015    Temperatura media (ºC)                    15,9
      1          20/09/2015    Temperatura media (ºC)                    17,7
      1          21/09/2015    Temperatura media (ºC)                    17,3
      1          22/09/2015    Temperatura media (ºC)                    16,9
      1          23/09/2015    Temperatura media (ºC)                    18,2
      1          24/09/2015    Temperatura media (ºC)                    19,1
      1          25/09/2015    Temperatura media (ºC)                    20,2
      1          26/09/2015    Temperatura media (ºC)                    20,2
      1          27/09/2015    Temperatura media (ºC)                    18,7
      1          28/09/2015    Temperatura media (ºC)                    18,5
      1          29/09/2015    Temperatura media (ºC)                    16,8
      1          30/09/2015    Temperatura media (ºC)                    15,4
      1          01/10/2015    Temperatura media (ºC)                    14,4
      1          02/10/2015    Temperatura media (ºC)                    13,9
      1          03/10/2015    Temperatura media (ºC)                    13,9
      1          04/10/2015    Temperatura media (ºC)                    19,2
      1          05/10/2015    Temperatura media (ºC)                    19,2
      1          06/10/2015    Temperatura media (ºC)                    15,5
      1          07/10/2015    Temperatura media (ºC)                    13,6
      1          08/10/2015    Temperatura media (ºC)                    13,6
      1          09/10/2015    Temperatura media (ºC)                    14,7
      1          10/10/2015    Temperatura media (ºC)                    15,8
      1          11/10/2015    Temperatura media (ºC)                    18,1
      1          12/10/2015    Temperatura media (ºC)                    17,2
      1          13/10/2015    Temperatura media (ºC)                    14,5
      1          14/10/2015    Temperatura media (ºC)                    12,6
      1          15/10/2015    Temperatura media (ºC)                    11,4
      1          16/10/2015    Temperatura media (ºC)                    11,9
      1          17/10/2015    Temperatura media (ºC)                    17
      1          18/10/2015    Temperatura media (ºC)                    14,5
      1          19/10/2015    Temperatura media (ºC)                    16
      1          20/10/2015    Temperatura media (ºC)                    16
      1          21/10/2015    Temperatura media (ºC)                    12,6
      1          22/10/2015    Temperatura media (ºC)                    13,2
      1          01/04/2015    Temperatura máxima (ºC)                   25
      1          02/04/2015    Temperatura máxima (ºC)                   29,5
      1          03/04/2015    Temperatura máxima (ºC)                   26,9
      1          04/04/2015    Temperatura máxima (ºC)                   24,4
      1          05/04/2015    Temperatura máxima (ºC)                   28,9
      1          06/04/2015    Temperatura máxima (ºC)                   27,5
      1          07/04/2015    Temperatura máxima (ºC)                   28,1
      1          08/04/2015    Temperatura máxima (ºC)                   24,6
      1          09/04/2015    Temperatura máxima (ºC)                   19,1
      1          10/04/2015    Temperatura máxima (ºC)                   20
      1          11/04/2015    Temperatura máxima (ºC)                   24,3
      1          12/04/2015    Temperatura máxima (ºC)                   28,5
      1          13/04/2015    Temperatura máxima (ºC)                   28,2
      1          14/04/2015    Temperatura máxima (ºC)                   25
      1          15/04/2015    Temperatura máxima (ºC)                   20,2
      1          16/04/2015    Temperatura máxima (ºC)                   15,8
      1          17/04/2015    Temperatura máxima (ºC)                   18,5
      1          18/04/2015    Temperatura máxima (ºC)                   14
      1          19/04/2015    Temperatura máxima (ºC)                   20,1
      1          20/04/2015    Temperatura máxima (ºC)                   25,2
      1          21/04/2015    Temperatura máxima (ºC)                   27,7
      1          22/04/2015    Temperatura máxima (ºC)                   18,9
      1          23/04/2015    Temperatura máxima (ºC)                   24,3
      1          24/04/2015    Temperatura máxima (ºC)                   15,6
      1          25/04/2015    Temperatura máxima (ºC)                   16,9
      1          26/04/2015    Temperatura máxima (ºC)                   16,7
      1          27/04/2015    Temperatura máxima (ºC)                   18,2
      1          28/04/2015    Temperatura máxima (ºC)                   19,4
      1          29/04/2015    Temperatura máxima (ºC)                   19,6
      1          30/04/2015    Temperatura máxima (ºC)                   18,8
      1          01/05/2015    Temperatura máxima (ºC)                   20,2
      1          02/05/2015    Temperatura máxima (ºC)                   21,9
      1          03/05/2015    Temperatura máxima (ºC)                   22,4
      1          04/05/2015    Temperatura máxima (ºC)                   23
      1          05/05/2015    Temperatura máxima (ºC)                   16,8
      1          06/05/2015    Temperatura máxima (ºC)                   21,9
      1          07/05/2015    Temperatura máxima (ºC)                   26
      1          08/05/2015    Temperatura máxima (ºC)                   21,7
      1          09/05/2015    Temperatura máxima (ºC)                   27,7
      1          10/05/2015    Temperatura máxima (ºC)                   29,6
      1          11/05/2015    Temperatura máxima (ºC)                   31,3
      1          12/05/2015    Temperatura máxima (ºC)                   32,6
      1          13/05/2015    Temperatura máxima (ºC)                   28
      1          14/05/2015    Temperatura máxima (ºC)                   20,2
      1          15/05/2015    Temperatura máxima (ºC)                   23,1
      1          16/05/2015    Temperatura máxima (ºC)                   27,9
